ENV,ENV_VEL,ENV_ACC,time_ms
0.200282807,0.165845271,7.940712035,18800
0.219906323,0.933236248,24.21152078,18840
0.270165572,1.332400685,-11.43392962,18880
0.304742023,0.281032434,-26.93507176,18920
0.309449306,0.433931095,41.95374758,18960
0.373535984,2.888838757,57.98109655,19000
0.512853658,3.389303842,-41.55594401,19040
0.593276393,0.279658875,-92.95121866,19080
0.541409448,-2.447580837,-30.98334207,19120
0.441731325,-2.004928599,47.32537657,19160
0.40839136,0.413188428,57.87379827,19200
0.455601151,1.458533607,-13.17246027,19240
0.486984891,-0.127316327,-46.93962974,19280
0.459702476,-0.727914879,25.91127776,19320
0.466251524,1.224089756,50.02077544,19360
0.538648185,1.922603458,-17.19426231,19400
0.594531861,0.876764595,-17.17747769,19440
0.628335698,1.061430917,17.0524178,19480
0.675723865,0.95319421,-33.4237735,19520
0.674111859,-1.185098337,-54.3005779,19560
0.600557797,-1.970891997,20.34001414,19600
0.549687339,-0.493050642,31.64739794,19640
0.536264403,-0.704243644,-43.71758994,19680
0.464091799,-2.921429499,-45.77279848,19720
0.332380503,-3.032796256,46.2966186,19760
0.269405219,0.274454954,103.2910862,19800
0.356775643,3.772368137,55.90158239,19840
0.527367057,4.127188441,-36.83746499,19880
0.645973741,1.493388238,-82.83297606,19920
0.641282381,-1.585882245,-61.73078505,19960
0.543365348,-2.889950147,0.686916879,20000
0.446107966,-1.579066038,58.38522292,20040
0.432991774,0.876817669,51.44966396,20080
0.494839567,1.814452685,-7.403963343,20120
0.547660747,0.551053134,-48.01088116,20160
0.531331721,-1.273826644,-34.20853774,20200
0.464276171,-1.799178942,6.268373127,20240
0.400801555,-1.385327896,5.227675075,20280
0.344085317,-1.521480396,-3.400453099,20320
0.292788666,-0.634828503,55.33110109,20360
0.3241013,2.33228713,73.44507482,20400
0.458253989,3.840259747,-3.586612984,20440
0.59403054,2.721840002,-37.81592357,20480
0.675435709,1.410045645,-30.10922797,20520
0.704260155,-0.079809439,-45.06753328,20560
0.665713224,-1.755761945,-31.77558484,20600
0.577557658,-2.494084522,-8.48669147,20640
0.474377456,-2.551793915,9.756970079,20680
0.392470876,-1.19114467,60.64221247,20720
0.400737239,1.63030335,63.330618,20760
0.497628014,2.652660364,-18.35758203,20800
0.570752915,0.693107365,-63.73299433,20840
0.554876129,-1.190436722,-21.07798478,20880
0.504143045,-1.091247291,15.98408345,20920
0.470005804,-0.763005202,-4.102819174,20960
0.434019545,-0.976109224,5.103266171,21000
0.411267108,0.111878311,43.27701874,21040
0.445320553,1.309160031,2.742808742,21080
0.483643195,0.319402982,-38.19672899,21120
0.474179926,-0.490069245,4.091389256,21160
0.46401212,-0.031442966,1.929606455,21200
0.448889009,-1.092906631,-49.84984224,21240
0.368428508,-2.640908622,-7.312023479,21280
0.283764404,-0.954778451,84.83182282,21320
0.318927918,2.613306919,70.09286216,21360
0.454270321,3.489457931,-26.35040206,21400
0.558440855,1.54919652,-51.87184679,21440
0.589148443,0.258772497,-13.59233156,21480
0.589331938,-0.36076507,-29.22159107,21520
0.540631151,-2.278663852,-57.55792966,21560
0.412383215,-3.759368853,-2.565941487,21600
0.28347762,-2.145697484,76.09640464,21640
0.263669512,1.099374737,67.62463422,21680
0.341149259,2.198933987,-16.48787501,21720
0.398146774,0.342531706,-61.82368199,21760
0.367612378,-1.640701964,-28.87674148,21800
0.292089548,-1.823683837,17.65123618,21840
0.243308485,-0.374104205,53.60088245,21880
0.277168628,2.139095483,63.09143155,21920
0.402218656,3.72937642,6.571424021,21960
0.536934072,2.581721064,-55.32749951,22000
0.593964354,0.345206363,-44.9037212,22040
0.582745095,-0.648098575,-7.224958736,22080
0.5554924,-0.654751432,2.296393488,22120
0.530975569,-0.559758235,4.466615012,22160
0.516012427,-0.070769555,21.48603117,22200
0.533573442,0.972680209,24.25772191,22240
0.583434858,1.240536589,-16.8203543,22280
0.606638381,-0.347345241,-55.56703102,22320
0.549147188,-2.412885661,-39.05378766,22360
0.431968255,-3.186657834,-0.748171714,22400
0.311426979,-2.673641573,24.46968271,22440
0.228884184,-1.354009272,38.82135625,22480
0.204498718,0.045527553,25.4795472,22520
0.218353462,0.44018285,-4.733706669,22560
0.228050697,-0.008887395,-12.93614306,22600
0.219318905,-0.369496095,-4.552719814,22640
0.202801261,-0.416954241,1.380031354,22680
0.18779067,-0.330765928,1.71992411,22720
0.174605343,-0.366238941,-3.609698429,22760
0.156948383,-0.493506828,-0.101840343,22800
0.140451974,-0.249793237,11.56238918,22840
0.140226194,0.220198675,8.998935075,22880
0.15364237,0.396262518,1.230573265,22920
0.170981066,0.50448433,6.05176619,22960
0.198509688,0.934582222,15.3238226,23000
0.250042487,1.674979449,19.80283804,23040
0.329877272,2.183693691,-0.296676503,23080
0.406018868,1.349943886,-39.76806349,23120
0.42536803,-0.337060258,-32.84001496,23160
0.398312534,-0.687502091,14.55254227,23200
0.388217614,0.233483262,22.69647282,23240
0.411892662,0.877137675,12.58758471,23280
0.458934688,1.529443099,19.33501473,23320
0.531700745,1.931234212,-6.759574173,23360
0.592603537,0.893936521,-38.207588,23400
0.600700719,-0.335329916,-16.47083086,23440
0.581487452,-0.502288992,1.571517909,23480
0.56098911,-0.561963803,-2.86138136,23520
0.541285818,-0.229114586,25.24089081,23560
0.560659427,1.324978977,42.91485621,23600
0.638987026,2.270016382,-4.004562847,23640
0.710530959,0.956417573,-55.50410245,23680
0.700517436,-1.463516033,-56.41566772,23720
0.606688794,-2.912288342,-9.365741512,23760
0.50007738,-2.007796548,50.38728894,23800
0.463949956,0.128769248,39.12664765,23840
0.480173911,0.139086605,-39.35886267,23880
0.444218671,-1.979624403,-45.02403392,23920
0.350765778,-2.052702252,48.19246344,23960
0.328831897,1.346208069,105.1259145,24000
0.459493585,4.827775185,51.95027335,24040
0.665370055,4.721308018,-57.57107589,24080
0.78761729,1.049008191,-107.5268365,24120
0.753038482,-2.40414328,-53.31525841,24160
0.633316836,-3.178506796,6.233068007,24200
0.516319701,-2.592841768,19.38350524,24240
0.432139541,-1.47273165,40.48934044,24280
0.412700564,0.634494813,59.33716258,24320
0.481065046,2.579476062,28.83969953,24360
0.590650193,2.455871357,-36.63607685,24400
0.645264548,0.009157632,-75.23606708,24440
0.590133176,-2.529466062,-40.59878871,24480
0.473500366,-2.888122331,20.56837971,24520
0.386326123,-1.204570981,60.74048013,24560
0.394239253,1.736604429,79.5937638,24600
0.518733852,4.109650731,23.00865311,24640
0.673342529,2.940210472,-75.91115627,24680
0.720379177,-0.637068223,-83.82042586,24720
0.641396308,-2.966357338,-33.63641304,24760
0.503922905,-3.748391731,-8.612217104,24800
0.354243088,-3.520312826,23.23298377,24840
