"Begin Time - msec","End Time - msec","RS_Detail","RG_RefNum_Right",
270854,271063,"Ad-neuSg",
271063,271382,"V-static",
271885,272060,"O-Bestaetigung",
272375,272661,"AttL-number",
272661,273001,"L-lm5_brunnen-schale-pl",
273001,273317,"Pos-in",
273317,273743,"V-static",
274144,274300,"Aid-femSg",
274300,274527,"O-Wiederholung",
274527,274844,"O-Wiederholung",
274844,275655,"L-lm5_brunnen-saeule-sg-gr",
276210,276651,"T-dann",
276967,277145,"Aid-femSg","232"
277145,277341,"Aid-femSg","232"
277341,277969,"L-lm5_brunnen-schale-sg-gr","232"
277969,278105,"T-dann",
278105,278202,"Pos-da","236"
278202,278422,"Pos-in","236"
278710,278774,"Aid-femSg","236"
278774,279018,"AttL-size",
279018,279276,"L-lm5_brunnen-saeule-sg-kl","238"
279425,279481,"Aid-femSg","238"
279481,279682,"AttL-size","238"
279682,279991,"L-lm5_brunnen-schale-sg-kl","238"
279991,280412,"Pos-darauf","238"
284753,285290," O-Kommentar",
285290,285439,"Ad-neuSg",
285439,285762,"V-static",
289757,289900,"O-Bestaetigung",
292110,292529,"O-Bestaetigung",
292529,292764,"Ad-femSg","248"
292764,292853,"V-static","248"
292853,293019,"Pos-auf","248"
293019,293642,"L-lm1_kreisverkehr","248"
295293,295469,"Pos-da","254"
295944,296706,"Dir-geradeaus",
296988,297065,"Ad-femSg","256"
297065,297566,"AttL-number",
297566,298089,"L-str_02-geschlaengeltWegVonSkulptur",
298089,298428,"V-motion",
300323,300630,"T-dann",
300846,300905,"Ad-femSg",
300905,301158,"L-str_02-geschlaengeltWegVonSkulptur",
301158,301576,"V-motion",
301576,301690,"Dist-bis",
301690,301791,"Dir-zu",
301791,302192,"L-lm2_rathaus",
303957,304098,"Ad-neuSg",
304243,304315,"P-DuPerspektive",
304315,304503,"T-dann",
304902,305266,"V-other",
305338,305399,"P-DuPerspektive",
305461,305560,"Ad-femPl",
305560,305794,"L-objekt-sg_unbestimmbar",
305794,306049,"V-other",
306416,307052,"T-dann","264"
307366,307565,"Dir-links","264"
307565,308040,"V-motion","264"
308421,308523,"Ad-neuSg","266"
308523,308820,"L-lm2_rathaus","266"
308938,309195,"Pos-rechts","266"
309195,309680,"V-static",
312111,312368,"T-dann",
312368,312569,"V-motion",
312569,312665,"P-DuPerspektive","270"
312665,312777,"Pos-auf","270"
312777,312882,"Aid-maskSg","270"
312882,313056,"L-fluss","270"
313056,313165,"Dir-zu","270"
313299,313610,"Pos-an","270"
314173,314351,"Pos-da","274"
314351,314632,"Dir-rechts","274"
314632,314979,"V-motion","274"
315157,315234,"Pos-an","277"
315234,315388,"L-fluss","277"
315388,315719,"Dir-entlang",
316138,316213,"Pos-da",
316213,316317,"V-static",
316502,316695,"Ad-femSg",
316695,317232,"L-litfasssaeule",
317232,317400,"Pos-an",
317400,317670,"Ad-femSg",
317670,317828,"P-neutral",
317828,317932,"T-dann",
317932,318197,"Dir-rechts",
318197,318509,"V-motion",
319868,320395,"T-dann",
320395,320556,"V-static",
320556,320673,"P-neutral",
320673,320757,"Ad-femSg",
320757,321052,"L-str_06-geschlaengeltZuAufKirchplatz",
321373,321524,"Pos-nach",
321524,321700,"Pos-rechts",
322591,322787,"T-dann",
323289,323851,"Dir-links",
323851,324135,"Pos-da","290"
324135,324349,"V-static","290"
324484,324863,"Pos-geradeaus",
324863,325165,"Dist-weiter",
325165,325403," O-Kommentar",
325403,325626,"V-perception",
325933,326462," AttL-shape",
326462,327079,"L-objekt-sg_unbestimmbar",
328262,328814,"T-dann",
328992,329188,"V-motion",
329188,329247,"P-DuPerspektive",
329388,329517,"Pos-auf",
329517,329733,"Ad-maskSg",
329733,329997,"L-lm3_kirchplatz",
329997,330138,"Prep-mit",
330138,330305,"AttL-number",
330305,330747,"L-lm3_kirchen",
332628,333174,"Pos-zwischen","298"
333174,333577,"Dir-durch",
334488,334574,"Dist-bis",
334574,334681,"Ad-femSg",
334681,334997,"L-str_07-wegVonKirchplatz",
334997,335199,"Prep-zu",
335199,335416,"Pos-Ende",
335416,335665,"V-static",
335861,336181,"Dir-links",
336181,336713,"V-motion",
339708,339800,"O-Frage",
339913,339977,"P-egozentrisch",
339977,340102,"T-dann",
340102,340386,"V-other",
342582,342760,"O-Bestaetigung",
342760,342993,"O-Bestaetigung",
342993,343148,"Pos-da",
343148,343314,"V-static",
343314,343446,"T-dann",
343748,344131,"Ad-maskSg",
344822,345116,"Ad-maskSg",
345116,345473,"L-park",
346874,346944,"Pos-an","308"
346944,347023,"Ad-femSg","308"
347023,347211,"L-park_hecke-parallelZuFluss","308"
347211,347552,"Dir-entlang",
347710,348255,"Dir-geradeaus",
348413,348643,"T-dann",
348643,348950,"T-irgendwann",
348950,349119,"V-static",
349119,349302,"Pos-rechts",
349302,349398,"Aid-maskSg",
349398,349832,"L-park_eingang-torbogen",
349832,350002,"Pos-da",
350002,350329,"Dir-rein",
351320,351757," Dir-imDreiviertelkreis","315"
351757,351916,"Pos-um","315"
351916,352064,"Ad-maskSg","315"
352064,352388,"L-see","315"
352388,352565,"Dir-herum",
352881,353121,"Dir-rechts","319"
353121,353223,"Dir-herum","319"
354106,354252,"T-dann","321"
354471,354738,"Dir-rechts","321"
354738,355082,"V-motion","321"
355082,355280,"Pos-an","321"
355280,355745,"Ad-maskSg",
355745,356358,"L-eisstand",
357351,357441,"Dir-in",
357441,357593,"Ad-neuSg",
357593,357990,"L-geb_21_siedlung-kapelle",
357990,358406,"Dir-rein",
358592,358968,"Pos-da",
360153,360455,"Pos-rechts",
360455,360874,"V-perception",
360874,361087,"Dist-bis",
361087,361135,"P-DuPerspektive",
361135,361190,"Ad-femSg",
361190,361500,"L-lm4_kapelle",
361500,361775,"V-perception",
362109,362273,"T-dann",
362273,362456,"Ad-femSg",
362456,362719,"L-str_13-zuAufKapelle",
362719,363077,"V-motion",
365367,365486,"Pos-an",
365486,365599,"Ad-femSg",
365599,365922,"L-lm4_kapelle",
366137,366379,"Dir-links",
366578,366729,"Ad-femSg","337"
366729,366879,"L-lm4_kapelle","337"
366879,367119,"Pos-rechts","337"
367119,367756,"V-static",
367874,368070,"T-dann",
368070,368213,"Pos-hinter",
368213,368495,"Ad-femSg",
368495,369157,"L-geb_bruecke",
369317,369637,"Dir-rechts",
371408,371867,"V-other",
371867,372021,"P-egozentrisch",
372021,372157,"V-other",
373670,373992,"O-Bestaetigung",
374776,375066,"V-other",
375066,375199,"P-egozentrisch",
377623,378029,"O-Bestaetigung",
379061,379311,"O-Bestaetigung",
42090,43910,,"29"
43920,45860,,"31"
63660,64560,,"45"
65380,66460,,"47"
67660,68260,,"50"
68470,71280,,"53"
71280,72410,,"55"
78830,81530,,"no-affilliate"
82640,84070,,"62"
92140,93610,,"69"
107980,110470,,"89a"
134030,134860,,"113"
134860,136540,,"115"
136550,141790,,"117"
144270,145240,,"120"
156810,163790,,"133"
170420,171590,,"140"
171590,172680,,"143"
177640,178320,,"153"
185010,187330,,"162"
187340,188600,,"164"
188600,193210,,"166"
208293,209863,,"185"
237680,239383,,"205"
246763,250283,,"212"
276627,278037,,"232"
278037,278927,,"236"
278927,280550,,"238"
292217,294007,,"248"
294017,296327,,"254"
296327,297537,,"256"
306247,308047,,"264"
308050,309447,,"266"
312377,313907,,"270"
313907,315067,,"274"
315067,315667,,"277"
323607,324687,,"290"
332547,333227,,"298"
346550,347467,,"308"
347467,348187,,"310"
350990,352537,,"315"
352537,353857,,"319"
353857,355440,,"321"
366457,367367,,"337"
