"","begintimes","endtimes","gesture_type","hand","gesture_duration","gesturesid","ppn","sfeat_envaccpeaksd","sfeat_envaccpeaks","sfeat_maxenvacc","sfeat_maxenvvel","sfeat_maxenv","sfeat_meanf","sfeat_maxf0","kfeat_wristindexdistanceright","kfeat_wristindexdistanceleft","kfeat_thumbindexdistanceright","kfeat_thumbindexdistanceleft","kfeat_wristwidthleftright","kfeat_wristheightright","kfeat_wristheightleft","kfeat_timetospeedright","kfeat_timetospeedleft","kfeat_avjerkright","kfeat_avjerkleft","kfeat_peakswristright","kfeat_peakswristleft","kfeat_maxspeedelbowright","kfeat_maxspeedelbowleft","kfeat_maxaccwristright","kfeat_maxaccwristleft","kfeat_maxspeedwristright","kfeat_maxspeedwristleft"
"39",164460,166210,"iconic","left",1750,"event_code39","V07",4,0.00628571428571429,90.67431755,4.387441287,0.748533321,143.202824829545,204.726352,0.131832014718147,0.0737822823763789,0.0200706207423248,0.0139943361318105,0.0873583000041366,0.0348259164673085,-0.000681761055994157,0.822857142857143,0.96,27.1152845675771,25.8599883435504,11,11,108.67735049096,86.1815991347304,73.1810945455008,67.3986250221437,123.127914273999,110.196148133249
"40",167490,169180,"iconic-deictic","left",1690,"event_code40","V07",4.125,0.00532544378698225,109.1643206,4.959221727,0.721249251,126.438030972973,152.620733,0.0370107948580677,0.25681837680989,0.0269961449610529,0.0179820473508483,0.264733968960539,-0.154304863466719,-0.164309710623503,0.733727810650888,0.733727810650888,38.9204047204656,47.7580382438689,13,12,141.559920634634,178.725209490269,90.336665666273,127.845372607188,173.288351233421,243.628889389396
"41",170010,171180,"iconic","left",1170,"event_code41","V07",3.667,0.00598290598290598,82.65431264,5.499682405,0.697569329,145.546395583333,219.865765,0.0471312516210089,0.0300685627524289,0.0800066178894542,0.0471017006278921,0.274935721885946,-0.0832462313062076,-0.0829901606039993,0.205128205128205,0.205128205128205,29.20364549478,37.699096716443,9,8,82.3964137722335,113.099875203087,53.0718708775231,50.6608397109761,125.631053432366,168.446925533437
"42",171190,172090,"iconic","left",900,"event_code42","V07",3.8,0.00666666666666667,84.11081246,3.74635313,0.650684587,150.940786531746,210.338829,0.0558399259047398,0.292792591924923,0.0392109562193446,0.0444444824378391,0.271158203138834,-0.0863049865548189,-0.0793586504794197,0.933333333333333,0.933333333333333,33.2942552737239,42.5370796572755,8,7,118.381480469266,159.379348283258,58.3361033087874,73.6419227952774,179.627519981161,212.825883773032
"43",175540,176280,"discourse","left",740,"event_code43","V07",3.75,0.00675675675675676,41.35966786,2.498005324,0.26144437,139.146524253731,152.436172,0.0974902834007948,0.0875510080015697,0.0510241309434889,0.026541028140945,0.306163371204057,-0.2663175739176,-0.275673338557505,0.378378378378378,0.324324324324324,21.3142075110717,37.5428256289691,4,5,33.3424440970373,87.50055288882,26.9207665238232,62.8711869594157,87.2401467052773,108.61599685742
"44",177610,179090,"iconic","left",1480,"event_code44","V07",4.429,0.00540540540540541,79.76258572,3.888118065,0.675815292,142.567724569231,169.066577,0.0637247830808591,0.364384047627049,0.0391584579714415,0.0441955660830897,0.240043092626454,-0.0454141495593817,-0.0439847060288256,0.189189189189189,0.189189189189189,38.336857182396,45.0173226430527,10,10,129.865822720371,159.02697742644,69.6164910347903,136.557835432741,184.516309297798,235.205855503258
"45",179090,180220,"iconic","left",1130,"event_code45","V07",4.2,0.00530973451327434,102.7454858,5.133918755,0.650260504,139.772061055944,153.008419,0.135883674250962,0.128863156359401,0.0831490309463407,0.114363508697196,0.128520557929415,-0.069392951647113,-0.0474369865303277,0.353982300884956,0.353982300884956,19.5710243129673,20.9371283096354,6,8,58.8444980973515,86.8729423742957,47.2483178324003,39.9886480660889,101.81966151743,131.224892954135
"46",180220,182650,"iconic","left",2430,"event_code46","V07",4.727,0.00493827160493827,94.29007014,4.723643495,0.738900554,151.595812466238,204.657374,0.0278049988295736,0.052914630182077,0.0903555327642919,0.0455842010551161,0.250354915322365,-0.0378748004476008,-0.0208385081457386,0.938271604938272,0.954732510288066,27.3945285653562,29.1199890941747,15,18,96.628020375042,121.133490070075,87.1082327615636,87.1122558972037,153.111917214108,194.755350876102
"47",188590,191020,"iconic","left",2430,"event_code47","V07",4.818,0.00493827160493827,104.7258159,4.368682705,0.661379323,175.595611176471,264.372123,0.104483008547845,0.0803954260300272,0.0251756156209867,0.0312820867702867,0.187891975102576,-0.179354290591193,-0.179131229809514,0.42798353909465,0.921810699588477,24.8553988473013,30.5478809054048,18,16,117.182233409714,132.309084237722,61.0552040271936,66.3143493161409,128.558244871557,147.716179056098
"48",192604,194634,"move","left",2030,"event_code48","V07",4.182,0.00591133004926108,75.35283302,4.845079015,0.648369562,142.896257830882,181.76517,0.0637298314555116,0.0494069803228776,0.072511269209557,0.0530784678551464,0.252401662270096,-0.337808467332713,-0.346533940874605,0.512315270935961,0.591133004926108,12.9537205168075,15.6784124988429,16,13,47.0703532170444,41.783708535835,20.4624429423214,36.3656404827339,59.9614597329148,68.1920381825047
"49",200110,202100,"move","left",1990,"event_code49","V07",3.909,0.00603015075376884,58.59085997,2.499353765,0.649015305,167.013954065789,225.821072,0.108444369389534,0.0718026890093641,0.067816306871753,0.0589595632245593,0.252196667509491,-0.334464236787623,-0.349281078095202,0.64321608040201,0.50251256281407,10.3661532290871,11.832725530224,14,13,32.8022818538761,48.0218562211909,20.5319523692971,31.3909003408156,59.3490924415743,71.6709630775982
"50",203750,204580,"move","left",830,"event_code50","V07",4.667,0.00481927710843374,67.84001507,3.17947761,0.636622155,152.071786439252,175.091197,0.0952567423347449,0.0820280839856952,0.0627646935065161,0.0764230143387883,0.255206335317117,-0.344252582174209,-0.356256351931294,0.771084337349398,0.963855421686747,5.03107284120906,7.61924732836524,3,5,29.0688899870075,14.9224166554687,13.0209670413091,13.3056787303144,29.9368070013347,28.0220298636425
"51",217260,219990,"iconic","left",2730,"event_code51","V07",4.462,0.00512820512820513,142.6289341,3.390524938,0.697332087,138.566999027397,181.893807,0.134156366697289,0.0967570051251768,0.0216365510554488,0.00391768117643366,0.247511125120213,-0.118300417465196,-0.117307478252597,0.454212454212454,0.454212454212454,25.0554882434998,24.9623722085609,20,17,93.7372068994376,120.507136041942,57.3652254994937,43.6371671971452,119.693341312337,142.185927869756
"52",228300,230030,"iconic","left",1730,"event_code52","V07",4.5,0.00520231213872832,78.33091068,3.290681315,0.64616249,142.929173509434,200.064421,0.074302269309695,0.0314023731180882,0.0100708372585238,0.0600828217686305,0.225689535210165,-0.204957299534162,-0.198357276590231,0.739884393063584,0.809248554913295,33.280251829339,40.0139814255746,13,13,113.810588395881,103.293814556001,50.2317478025238,64.3566147380349,172.773263017363,189.672292251054
"53",232000,233640,"iconic","left",1640,"event_code53","V07",5.6,0.00365853658536585,68.43112717,3.666887055,0.594470324,143.396313614035,152.896656,0.0353016824073417,0.0498622380302167,0.0198578051584,0.0532432974600247,0.213961627985009,-0.134166733427887,-0.140798602595486,0.853658536585366,0.853658536585366,35.3901130491553,40.6567565870747,11,9,101.893493689071,134.520404610578,110.719104559594,112.700697942334,168.710258916839,207.044870087415
"54",236970,238070,"discourse","left",1100,"event_code54","V07",3.333,0.00636363636363636,66.68771758,2.477124411,0.661161709,148.294681912088,179.44876,0.0902384375497896,0.499990594121646,0.0526613099158402,0.0695920546453902,0.282505194371512,-0.236479618269986,-0.232995937250928,0.836363636363636,0.4,17.2493447097777,26.3546905676355,6,5,69.3912977435536,94.6999389819867,41.0462424316954,67.5936899881516,73.644736849931,113.755519371004
"55",238663,240035,"iconic","left",1372,"event_code55","V07",4.143,0.00583090379008746,79.50418052,3.705054685,0.855875101,136.843533847682,180.572992,0.0854709917365575,0.0690065660159908,0.074924328196877,0.0686711590937237,0.257489317364896,-0.156478631908953,-0.122407183850307,0.174927113702624,0.174927113702624,29.5521505859553,28.1883479734869,7,10,100.750559059145,116.764896662794,63.1055608117425,52.9594515239288,138.584264228616,158.152332268379
"56",241190,243520,"iconic","left",2330,"event_code56","V07",4.909,0.00515021459227468,110.0423761,3.904105181,0.778137734,151.669996802083,208.499511,0.115040677948334,0.0848492874602034,0.0493530073912326,0.033394430586997,0.156867865956714,-0.143157207885884,-0.107441237842893,0.63519313304721,0.63519313304721,20.9009617373752,20.510706316272,11,14,73.0691042796083,90.2935474890096,55.9480839728541,59.2713772375621,106.113487962498,128.55250118181
"57",243520,245420,"iconic","left",1900,"event_code57","V07",4.778,0.00526315789473684,83.21725148,4.568506717,0.617788038,154.76094914386,244.618477,0.00815845135318523,0.0786882096906097,0.00447168293359255,0.0114209456095769,0.174991137491838,-0.123734963174639,-0.101866779640139,0.863157894736842,0.884210526315789,37.2843801673726,40.4442032797024,13,12,131.287973726105,116.740649473952,77.8733917947527,57.4017792375698,184.054337694301,192.729286692969
"58",250640,252420,"iconic","left",1780,"event_code58","V07",4.25,0.0050561797752809,94.6819444,3.672366595,0.730882599,141.869298775148,200.051561,0.0824237373154945,0.42904844044436,0.0291705506048812,0.0322385605934288,0.20035711364446,-0.0691650625830573,-0.160902888017286,0.314606741573034,0.179775280898876,32.0576705203351,32.5824228819589,14,9,95.0958642895881,159.578394882094,50.8151818892328,111.947797166749,110.166117717608,217.169849454922
