Time_s,F0_Hz
200.551063,181.604882
200.555230,0
200.559396,0
200.563563,0
200.567730,181.556072
200.571896,181.701286
200.576063,181.759320
200.580230,181.713698
200.584396,181.679726
200.588563,181.736002
200.592730,181.820069
200.596896,181.802214
200.601063,181.791407
200.605230,183.807466
200.609396,183.903468
200.613563,185.885698
200.617730,185.971016
200.621896,186.064295
200.626063,186.101277
200.630230,186.054620
200.634396,185.989903
200.638563,185.959848
200.642730,185.938726
200.646896,186.017299
200.651063,186.292693
200.655230,188.079665
200.659396,188.160485
200.663563,188.258030
200.667730,188.373359
200.671896,188.301505
200.676063,186.258837
200.680230,185.864668
200.684396,185.749169
200.688563,186.016747
200.692730,188.298487
200.696896,190.624916
200.701063,190.800490
200.705230,190.576123
200.709396,190.531441
200.713563,190.846177
200.717730,0
200.721896,0
200.726063,0
200.730230,0
200.734396,0
200.738563,0
200.742730,0
200.746896,0
200.751063,0
200.755230,0
200.759396,0
200.763563,0
200.767730,0
200.771896,0
200.776063,0
200.780230,0
200.784396,0
200.788563,0
200.792730,0
200.796896,0
200.801063,0
200.805230,0
200.809396,0
200.813563,0
200.817730,0
200.821896,0
200.826063,0
200.830230,0
200.834396,0
200.838563,0
200.842730,0
200.846896,0
200.851063,0
200.855230,0
200.859396,0
200.863563,0
200.867730,0
200.871896,0
200.876063,0
200.880230,0
200.884396,0
200.888563,0
200.892730,0
200.896896,0
200.901063,0
200.905230,0
200.909396,0
200.913563,0
200.917730,0
200.921896,0
200.926063,0
200.930230,0
200.934396,0
200.938563,0
200.942730,0
200.946896,0
200.951063,0
200.955230,0
200.959396,0
200.963563,0
200.967730,0
200.971896,0
200.976063,0
200.980230,0
200.984396,0
200.988563,0
200.992730,0
200.996896,0
201.001063,0
201.005230,0
201.009396,0
201.013563,0
201.017730,0
201.021896,0
201.026063,0
201.030230,0
201.034396,0
201.038563,0
201.042730,0
201.046896,0
201.051063,0
201.055230,0
201.059396,0
201.063563,0
201.067730,0
201.071896,0
201.076063,0
201.080230,0
201.084396,0
201.088563,0
201.092730,0
201.096896,0
201.101063,0
201.105230,0
201.109396,0
201.113563,0
201.117730,0
201.121896,0
201.126063,0
201.130230,0
201.134396,0
201.138563,0
201.142730,0
201.146896,0
201.151063,0
201.155230,0
201.159396,0
201.163563,0
201.167730,0
201.171896,0
201.176063,0
201.180230,0
201.184396,0
201.188563,0
201.192730,0
201.196896,0
201.201063,0
201.205230,0
201.209396,0
201.213563,0
201.217730,0
201.221896,0
201.226063,0
201.230230,0
201.234396,0
201.238563,0
201.242730,0
201.246896,0
201.251063,0
201.255230,0
201.259396,0
201.263563,0
201.267730,0
201.271896,0
201.276063,0
201.280230,0
201.284396,0
201.288563,0
201.292730,0
201.296896,0
201.301063,0
201.305230,0
201.309396,0
201.313563,0
201.317730,0
201.321896,0
201.326063,0
201.330230,0
201.334396,0
201.338563,0
201.342730,0
201.346896,0
201.351063,0
201.355230,0
201.359396,0
201.363563,0
201.367730,0
201.371896,0
201.376063,0
201.380230,0
201.384396,0
201.388563,0
201.392730,0
201.396896,0
201.401063,0
201.405230,0
201.409396,0
201.413563,0
201.417730,0
201.421896,0
201.426063,0
201.430230,0
201.434396,0
201.438563,0
201.442730,0
201.446896,0
201.451063,0
201.455230,0
201.459396,0
201.463563,0
201.467730,0
201.471896,0
201.476063,0
201.480230,0
201.484396,0
201.488563,0
201.492730,0
201.496896,0
201.501063,0
201.505230,0
201.509396,0
201.513563,0
201.517730,0
201.521896,0
201.526063,0
201.530230,0
201.534396,0
201.538563,0
201.542730,0
201.546896,0
201.551063,0
201.555230,0
201.559396,0
201.563563,0
201.567730,0
201.571896,0
201.576063,0
201.580230,0
201.584396,0
201.588563,0
201.592730,0
201.596896,0
201.601063,0
201.605230,0
201.609396,0
201.613563,0
201.617730,0
201.621896,0
201.626063,0
201.630230,0
201.634396,0
201.638563,0
201.642730,0
201.646896,0
201.651063,0
201.655230,0
201.659396,0
201.663563,0
201.667730,0
201.671896,0
201.676063,0
201.680230,0
201.684396,0
201.688563,0
201.692730,0
201.696896,0
201.701063,0
201.705230,0
201.709396,0
201.713563,0
201.717730,0
201.721896,0
201.726063,0
201.730230,0
201.734396,0
201.738563,0
201.742730,0
201.746896,0
201.751063,0
201.755230,0
201.759396,0
201.763563,0
201.767730,0
201.771896,0
201.776063,0
201.780230,0
201.784396,0
201.788563,0
201.792730,0
201.796896,0
201.801063,0
201.805230,0
201.809396,0
201.813563,0
201.817730,0
201.821896,0
201.826063,0
201.830230,0
201.834396,0
201.838563,0
201.842730,0
201.846896,0
201.851063,0
201.855230,0
201.859396,0
201.863563,0
201.867730,0
201.871896,0
201.876063,0
201.880230,0
201.884396,0
201.888563,0
201.892730,0
201.896896,0
201.901063,0
201.905230,0
201.909396,0
201.913563,0
201.917730,0
201.921896,0
201.926063,0
201.930230,0
201.934396,0
201.938563,0
201.942730,0
201.946896,0
201.951063,0
201.955230,0
201.959396,0
201.963563,0
201.967730,0
201.971896,0
201.976063,0
201.980230,0
201.984396,0
201.988563,0
201.992730,0
201.996896,0
202.001063,0
202.005230,0
202.009396,0
202.013563,0
202.017730,0
202.021896,0
202.026063,0
202.030230,0
202.034396,0
202.038563,0
202.042730,0
202.046896,0
202.051063,0
202.055230,0
202.059396,0
202.063563,0
202.067730,0
202.071896,0
202.076063,0
202.080230,0
202.084396,0
202.088563,0
202.092730,0
202.096896,0
202.101063,0
202.105230,0
202.109396,0
202.113563,0
202.117730,0
202.121896,0
202.126063,0
202.130230,0
202.134396,0
202.138563,0
202.142730,0
