coords,x_left,y_left,likelihood,x_right,y_right,likelihood
213,409.9648051,290.7123321,0.969174087,396.951775,292.1624469,0.999996066
214,409.4070401,289.5320265,0.996995091,393.3868897,290.2420164,0.999941826
215,406.1112967,290.1313642,0.998607099,393.3538036,290.1557046,0.999844432
216,406.5416305,290.5205673,0.998205423,393.4758697,291.0019152,0.999957681
217,404.9653185,290.9713074,0.998600662,392.3968811,291.470645,0.999927163
218,404.3881655,292.630901,0.999324083,391.6143446,293.7737086,0.99987638
219,403.3933315,297.1778388,0.999077439,391.3704684,297.6363037,0.999759018
220,390.7852883,236.1431442,0.996582925,393.1062646,304.4634745,0.999912858
221,407.3910658,315.1892833,0.930710375,395.8302752,314.7097521,0.99996984
222,412.455554,325.4920675,0.591191888,398.6893597,328.1259418,0.999999046
223,411.6554708,343.828582,0.729953289,396.19878,346.7534122,0.999915123
224,413.3794796,361.3840952,0.999608815,391.5806708,377.0439472,0.976491034
225,420.6040314,394.6249779,0.99998033,388.2051072,415.9200206,0.005198509
226,430.1572251,444.706638,0.997521698,388.5128134,449.832624,0.004750889
227,434.0071948,492.760308,0.99974066,388.672213,496.8138208,0.96715498
228,442.2454262,531.6133649,0.999999881,375.4009449,539.2429525,0.999997854
229,438.0566342,530.871308,1,379.7216459,550.1172922,0.999999762
230,436.3060047,520.7531204,0.999999881,380.5732169,544.0256929,0.999999881
231,436.5793669,514.9079003,1,379.5311952,534.0914271,0.999999762
232,436.7716959,515.0901902,1,377.3833728,530.0627165,0.999999881
233,438.0144167,516.0471919,1,376.2600608,530.8976668,1
234,436.1613119,517.8587307,1,377.0540853,533.3787166,1
235,432.797276,520.6137762,0.999999881,377.8760877,535.3982065,0.999999881
236,431.1283975,521.6607561,0.999999404,377.6600041,536.1313071,0.999999881
237,431.2134571,521.7290988,0.999999285,377.3739562,536.8287091,0.999999881
238,431.4226589,521.9240704,0.999999285,376.635272,537.4258037,0.999999881
239,431.5860066,521.8737597,0.999999285,376.200695,537.0824437,0.999999881
240,431.5951672,521.5764909,0.999999523,376.2344303,536.5185022,1
241,431.8868337,521.4147258,0.999999642,376.3893228,536.5165057,0.999999881
242,431.9242778,521.3735576,0.999999642,376.5559788,536.6844969,0.999999881
243,432.031215,521.7816181,0.999999404,376.9293633,536.8399916,0.999999881
244,432.0543461,521.7098498,0.999999523,376.9559817,537.0038691,0.999999881
245,431.9857984,521.6100326,0.999999523,376.8591762,536.6781416,0.999999881
246,431.7159386,521.6861515,0.999999404,376.7256637,536.8024859,0.999999881
247,431.6620793,522.0376477,0.999999166,376.4818401,536.865593,0.999999881
248,431.5779839,522.0662866,0.999999166,376.4267445,537.1110597,0.999999881
249,431.3429885,521.9181924,0.999999046,376.4873848,537.1237826,0.999999881
250,431.2355199,522.0059862,0.999998927,376.5487599,537.2294259,0.999999881
251,431.4158897,522.1600084,0.999998927,376.7362633,537.2988286,0.999999881
252,431.4413567,522.2441607,0.999998808,376.6862254,537.1879983,0.999999881
253,431.4313569,522.3106818,0.999998808,376.6558323,537.1054211,0.999999881
254,431.5459061,522.223393,0.999999046,376.6717639,537.1837139,0.999999881
255,431.5220356,522.2953839,0.999998927,376.9018302,537.3927646,0.999999881
256,431.6022201,522.0747962,0.999999166,376.8331771,537.3441448,0.999999881
257,431.562562,522.2843137,0.999998927,376.9497943,537.4535475,0.999999881
258,431.1820259,522.6259595,0.999998689,376.7773833,537.7519684,0.999999762
259,430.9606791,522.8521391,0.999998569,376.7225676,537.8654547,0.999999762
260,431.0177441,522.9322838,0.999998569,376.8306127,538.1045232,0.999999762
261,430.9634671,523.0008702,0.99999845,376.7711382,537.9824953,0.999999762
262,430.9573088,522.9758275,0.99999845,376.8233995,537.7962203,0.999999762
263,430.9340224,523.1125169,0.99999845,376.9605465,537.7072606,0.999999762
264,431.0752554,523.1287862,0.999998569,376.9494839,537.57727,0.999999881
265,431.1590056,523.1438295,0.999998569,377.1002321,537.6461539,0.999999762
266,431.2031975,523.0295483,0.999998569,377.1406298,537.3847384,0.999999762
